Title,Note,URL,Tags,Cuisine,Latitude,Longitude,Visited,City,State,Type
Chome,,https://www.google.com/maps/place/Chome/data=!4m2!3m1!1s0x808f7f738799d151:0x6f84ecee6aed914d,,Japanese,37.7487281,-122.4215103,,San Francisco,CA,Restaurant
La Marcha Tapas Bar,,https://www.google.com/maps/place/La+Marcha+Tapas+Bar/data=!4m2!3m1!1s0x80857ec1e75a2565:0x18e96beacbeefbf5,,Spanish,37.7614,-122.3965,,,,Bar
Pizza Ponte,,https://www.google.com/maps/place/Pizza+Ponte/data=!4m2!3m1!1s0x80857e68a43ae401:0xd72dabc361f8fb56, Pizza,Italian,37.7622,-122.3964,,,,Restaurant
Mama's Boy,,https://www.google.com/maps/place/Mama's+Boy/data=!4m2!3m1!1s0x808f818be2f7967d:0x6e3b42ccab8b3e54, Pizza,Italian,37.8113,-122.2664,,Oakland,CA,Restaurant
Rintaro,,https://www.google.com/maps/place/Rintaro/data=!4m2!3m1!1s0x808f7e26791dc281:0xe147a1d9e33e11d4,,Japanese,37.7689,-122.4151,,San Francisco,CA,Restaurant
Hana Izumi,,https://www.google.com/maps/place/Hana+Izumi/data=!4m2!3m1!1s0x808f7716ce6fd605:0xe62ca9807fb68df8,,Japanese,37.5993,-122.3873,,Millbrae,CA,Restaurant
"InterContinental San Francisco, an IHG Hotel",Rooftop restaurant ,"https://www.google.com/maps/place/InterContinental+San+Francisco,+an+IHG+Hotel/data=!4m2!3m1!1s0x80858086da575917:0xead83531aa8f25bb",,,37.7818,-122.4047,,,,Hotel
Hilton San Francisco Union Square,Rooftop bar,https://www.google.com/maps/place/Hilton+San+Francisco+Union+Square/data=!4m2!3m1!1s0x8085808fa0472279:0x49345c4565f1667a,,,37.785734,-122.410437,,,,Hotel
San Francisco Marriott Marquis,Rooftop bar,https://www.google.com/maps/place/San+Francisco+Marriott+Marquis/data=!4m2!3m1!1s0x8085808636673e71:0xebc2cf7c5bf2d655,,,37.785426,-122.404493,,,,Hotel
Caffe Teatro,,https://www.google.com/maps/place/Caffe+Teatro/data=!4m2!3m1!1s0x808f80b183b3d067:0x3eaabdb7467e9240,,Italian,37.8056,-122.2713,,Oakland,CA,Café / Coffee
HINOYA,,https://www.google.com/maps/place/HINOYA/data=!4m2!3m1!1s0x60188e9e5250ca21:0x6db3554cd9b3c98e,,Japanese,35.6762,139.7395,,,,Restaurant
A16,,https://www.google.com/maps/place/A16/data=!4m2!3m1!1s0x80857de91dfe534d:0x346ad576c2aa0f36,,Italian,37.7614,-122.3965,,,,Restaurant
Poesia Café,,https://www.google.com/maps/place/Poesia+Caf%C3%A9/data=!4m2!3m1!1s0x8085810016a55223:0xf1a59a276c783aaf,,Café,37.7928,-122.3988,,,,Café / Coffee
San Tung,,https://www.google.com/maps/place/San+Tung/data=!4m2!3m1!1s0x8085875d83e10257:0x131f778c0e458770,,Chinese,37.7741,-122.4597,,,,Restaurant
Yodobashi Camera Shinjuku West Main Store,,https://www.google.com/maps/place/Yodobashi+Camera+Shinjuku+West+Main+Store/data=!4m2!3m1!1s0x60188cd13c14d187:0x30f936a044710fd5,,,35.689304,139.697779,,,,Restaurant
Yodobashi Akiba,,https://www.google.com/maps/place/Yodobashi+Akiba/data=!4m2!3m1!1s0x60188ea7d9cc4f19:0x7bb917c6708b7376,,,35.698784,139.774725,,,,Restaurant
Kemuri Japanese Barú,,https://www.google.com/maps/place/Kemuri+Japanese+Bar%C3%BA/data=!4m2!3m1!1s0x808fa24d1bc09227:0x1dc0af526beaee6,,Japanese,37.7779,-122.2755,,,,Bar
Everlane,,https://www.google.com/maps/place/Everlane/data=!4m2!3m1!1s0x808f7e22365aa02f:0x279df63f1c4d3bf4,,,40.722877,-73.994749,,,,Shop
Forage Kitchen - Event Space,,https://www.google.com/maps/place/Forage+Kitchen+-+Event+Space/data=!4m2!3m1!1s0x808f80ab68cd2b43:0x628a2676168a53c0,,,37.8147,-122.2672,,,,Restaurant
Sol Food,Sam was served a steak sandwich ,https://www.google.com/maps/place/Sol+Food/data=!4m2!3m1!1s0x80859aa87422b909:0x83d9fe9719bb8a36,,Puerto Rican,37.7849,-122.3895,,,,Restaurant
YAYOI Hillsdale,Yabe ,https://www.google.com/maps/place/YAYOI+Hillsdale/data=!4m2!3m1!1s0x808f9ff619a4dc5d:0x9e29772bc288e60a,,Japanese,37.5373,-122.3005,,,,Restaurant
Arquet Restaurant,,https://www.google.com/maps/place/Arquet+Restaurant/data=!4m2!3m1!1s0x808581002761e319:0xb47cd44ca8af437b,,Peruvian,37.7927,-122.3945,,,,Restaurant
Sforno Pizzeria Napoletana,Portafoglio pizza,https://www.google.com/maps/place/Sforno+Pizzeria+Napoletana/data=!4m2!3m1!1s0x8085817d587624ef:0x311117103b5ecadf,,Italian,37.7624,-122.3967,,,,Restaurant
Z & Y Restaurant,,https://www.google.com/maps/place/Z+%26+Y+Restaurant/data=!4m2!3m1!1s0x808580f4bbcfeb99:0x3e467f1b1d256432,,Sichuan,37.7927,-122.3986,,,,Restaurant
Bernal Cutlery,,https://www.google.com/maps/place/Bernal+Cutlery/data=!4m2!3m1!1s0x808f7e5bfe0b4d43:0x13c52491a71d9de0,,,37.795276,-122.393372,,,,Shop
Tokyo Cream,,https://www.google.com/maps/place/Tokyo+Cream/data=!4m2!3m1!1s0x80858771c315df75:0x9b67f33646ccbd62,,Japanese,37.7637585,-122.4778566,,San Francisco,CA,Ice Cream / Dessert
GADA,,https://www.google.com/maps/place/GADA/data=!4m2!3m1!1s0x808f7f00297c155f:0xc119147366ad470b,,Ethiopian,37.7629134,-122.4343726,,San Francisco,CA,Restaurant
Clio’s Books,,https://www.google.com/maps/place/Clio%E2%80%99s+Books/data=!4m2!3m1!1s0x808f87067681ab93:0x45332db5741e13a4,,,37.8072,-122.2589,,,,Shop
Deli Board,Sandwich,https://www.google.com/maps/place/Deli+Board/data=!4m2!3m1!1s0x80858083ba147b83:0x7f293054a3647a6,,Sandwiches,37.7776,-122.407,,San Francisco,CA,Restaurant
Fish.,,https://www.google.com/maps/place/Fish./data=!4m2!3m1!1s0x8085850475ffcf03:0x9a43256e5e3b4c13,,Seafood,37.8681,-122.4977,,Sausalito,CA,Restaurant
Roast & Toast Cafe,Booza ice cream,https://www.google.com/maps/place/Roast+%26+Toast+Cafe/data=!4m2!3m1!1s0x80857f20ff759041:0x1f9aaf7b2f876260,,Café,37.7624,-122.3962,,,,Café / Coffee
Bakesale Betty,,https://www.google.com/maps/place/Bakesale+Betty/data=!4m2!3m1!1s0x80857dedfca72801:0xc9891af5696244bc,,Bakery,37.7614,-122.3965,,,,Bakery
Cafe Noir,,https://www.google.com/maps/place/Cafe+Noir/data=!4m2!3m1!1s0x80857f007f720197:0x31deebbaf643e25b,,Café,37.7622,-122.3965,,,,Café / Coffee
Phoenix Hotel,,https://www.google.com/maps/place/Phoenix+Hotel/data=!4m2!3m1!1s0x80858090b9d04cef:0xbbf78c7fac97aa74,,Vietnamese,18.538017,73.910938,,,,Hotel
Uzuki,,https://www.google.com/maps/place/Uzuki/data=!4m2!3m1!1s0x89c25965763e5337:0x1615a7413420279e,,Japanese,40.7245,-73.9534,,,,Restaurant
La Cigale,,https://www.google.com/maps/place/La+Cigale/data=!4m2!3m1!1s0x808f7f000940f283:0xcf3245a76e60b5b5,,French,37.73434,-122.43344,,San Francisco,CA,Restaurant
Café Colucci,,https://www.google.com/maps/place/Caf%C3%A9+Colucci/data=!4m2!3m1!1s0x80857dd7382e4f01:0xeef404a132c138b8,,Ethiopian,37.7614,-122.3962,,,,Restaurant
Steep Ravine Trail,Hiking,https://www.google.com/maps/place/Steep+Ravine+Trail/data=!4m2!3m1!1s0x8085915d86ecb2a9:0x9cd8495c04511945,,,37.750078,-122.454812,,,,Park / Nature
Butter,Dancing,https://www.google.com/maps/place/Butter/data=!4m2!3m1!1s0x808f7e262f3caabd:0x1990bb2f6c360c43,,,32.525057,74.036393,,,,Restaurant
Tacos Guadalajara #2,,https://www.google.com/maps/place/Tacos+Guadalajara+%232/data=!4m2!3m1!1s0x808f876e723c611b:0xdedf22610ba14082,,Mexican,37.784027,-122.222969,,Oakland,CA,Restaurant
Safari West,,https://www.google.com/maps/place/Safari+West/data=!4m2!3m1!1s0x808440f548e59cb3:0x93f0b90485ffa2d7,,,38.557332,-122.695392,,,,Experience
Maple & Ash,Founded by same guys as Etta in Culver City,https://www.google.com/maps/place/Maple+%26+Ash/data=!4m2!3m1!1s0x872b0bbd42155555:0x9571ef97ccca92d4,,Steakhouse,34.0522,-118.2437,,,,Restaurant
Butterfly,Etta used to be here,https://www.google.com/maps/place/Butterfly/data=!4m2!3m1!1s0x80c2b981605aaaab:0xc7aba89f2216fffa,,American,32.7157,-117.1611,,,,Restaurant
Ratto's,,https://www.google.com/maps/place/Ratto's/data=!4m2!3m1!1s0x808f80b73da00df9:0x9e74eeede3ecec00,,Italian,37.8012,-122.2749,,Oakland,CA,Restaurant
Brother's Deli & Co,Sandwiches,https://www.google.com/maps/place/Brother's+Deli+%26+Co/data=!4m2!3m1!1s0x808f870033f5d039:0xc8fb658a0f40c0e1,,Sandwiches,37.8022774,-122.241391,,Oakland,CA,Restaurant
Oakland Secret,,https://www.google.com/maps/place/Oakland+Secret/data=!4m2!3m1!1s0x808f80b9b64bff25:0x63372c1ccf6c9b03,,Bar,37.8044,-122.2712,,,,Bar
The Kezar Pub,Wings,https://www.google.com/maps/place/The+Kezar+Pub/data=!4m2!3m1!1s0x808587516885bfc9:0xa0bd63d26122a20d,,American,37.7679,-122.453,,San Francisco,CA,Bar
Great Western Power Company,Climbing ,https://www.google.com/maps/place/Great+Western+Power+Company/data=!4m2!3m1!1s0x808f80adc4839389:0x65986509e72dca4c,,,37.809917,-122.270132,,,,Restaurant
Sidestreet Pho,,https://www.google.com/maps/place/Sidestreet+Pho/data=!4m2!3m1!1s0x808f86bdce9c341d:0xf54159e5c9e2e808,,Vietnamese,37.7628435,-122.2452604,,Alameda,CA,Restaurant
Red Bay Coffee,,https://www.google.com/maps/place/Red+Bay+Coffee/data=!4m2!3m1!1s0x808f8777c955058f:0x7448685fc38ec945,,Café,37.7761,-122.2279,,Oakland,CA,Café / Coffee
Monster Phở,,https://www.google.com/maps/place/Monster+Ph%E1%BB%9F/data=!4m2!3m1!1s0x80857dfbd0312461:0xf38bc4f7729045da,,Vietnamese,37.7614,-122.3962,,,,Restaurant
Sequoia Diner,,https://www.google.com/maps/place/Sequoia+Diner/data=!4m2!3m1!1s0x808f8647d89b15b5:0x9da7b9c3be928bca,,American,37.7918,-122.1992,,Oakland,CA,Restaurant
Millbrae Pancake House,,https://www.google.com/maps/place/Millbrae+Pancake+House/data=!4m2!3m1!1s0x808f779fcb767af1:0x98742526d7b2ff32,,American,37.5994,-122.3428,,,,Restaurant
Minto's Jamaican Restaurant & Bar,,https://www.google.com/maps/place/Minto's+Jamaican+Restaurant+%26+Bar/data=!4m2!3m1!1s0x808f8160da73b611:0xf22ba8f44dfce641,,Jamaican,37.8050726,-122.2697512,,Oakland,CA,Bar
Mare Island,,https://www.google.com/maps/place/Mare+Island/data=!4m2!3m1!1s0x8085749b7554e3ab:0xd7c2d6bbc34b0bca,,,38.092227,-122.270466,,,,Restaurant
Halal Burgers & More,,https://www.google.com/maps/place/Halal+Burgers+%26+More/data=!4m2!3m1!1s0x808f8760b05881a5:0xf976a530a686c03a,,Halal,37.8017562,-122.2641685,,Oakland,CA,Restaurant
House of Air Trampoline Park and Café,Snowboarding lessons,https://www.google.com/maps/place/House+of+Air+Trampoline+Park+and+Caf%C3%A9/data=!4m2!3m1!1s0x808586c2b1cac027:0x5280f52d96ade66f,,Café,37.8049,-122.4688,,,,Experience
Amboise,,https://www.google.com/maps/place/Amboise/data=!4m2!3m1!1s0x47fcb59a6f0f2835:0x40dc8d705389400,,French,48.8566,2.3522,,,,Restaurant
Phonobar,,https://www.google.com/maps/place/Phonobar/data=!4m2!3m1!1s0x80858098f4ed114d:0x768ab461f926e021,,Bar,37.778,-122.4229,,San Francisco,CA,Bar
Delah Coffee,,https://www.google.com/maps/place/Delah+Coffee/data=!4m2!3m1!1s0x808f81bb35f9ebb3:0x5d2ee4c18f456803,,Café,37.8118,-122.2672,,Oakland,CA,Café / Coffee
Burlap Coffee,,https://www.google.com/maps/place/Burlap+Coffee/data=!4m2!3m1!1s0x80857ddfa3c72e03:0x3d5d0f9dae76b516,,Café,37.7614,-122.3962,,,,Café / Coffee
Sakura Sushi,,https://www.google.com/maps/place/Sakura+Sushi/data=!4m2!3m1!1s0x8085982102dca92b:0xffac43d2039a23d1,,Japanese,48.840129,2.397154,,,,Restaurant
Awaken Cafe & Roasting,,https://www.google.com/maps/place/Awaken+Cafe+%26+Roasting/data=!4m2!3m1!1s0x808f80b3e5530421:0xfea43e05bbe50fb6,,Café,37.8036,-122.271,,,,Café / Coffee
Touch of Soul,,https://www.google.com/maps/place/Touch+of+Soul/data=!4m2!3m1!1s0x80857e6cc8f97905:0xa116ae096c362daf,,,37.829545,-122.278699,,,,Restaurant
927 Post St,,https://www.google.com/maps/place/927+Post+St/data=!4m2!3m1!1s0x808580915f9e3463:0x924945a826d0f07f,,,37.787048,-122.417179,,,,Restaurant
Mario's Butcher Shop,,https://www.google.com/maps/place/Mario's+Butcher+Shop/data=!4m2!3m1!1s0x80dcdf4b49873b39:0x3895c2b3e3ad0669,,,33.6522,-117.8577,,,,Market
The Wild Fox,,https://www.google.com/maps/place/The+Wild+Fox/data=!4m2!3m1!1s0x8085819e5a564a7f:0x2df9b5faaefad29e,,,37.792713,-122.400024,,,,Restaurant
The Gourmet Corner,French grocer,https://www.google.com/maps/place/The+Gourmet+Corner/data=!4m2!3m1!1s0x808f9de60936c6f1:0x2354f09fd37af08f,,French,21.034558,105.852107,,,,Restaurant
Maki Yaki OC,,https://www.google.com/maps/place/Maki+Yaki+OC/data=!4m2!3m1!1s0x80dcf05a3e28bf57:0x18c59bb94adf5c3c,,,33.4657,-117.6912,,,,Restaurant
El Mono | Fresh Flavors of Peru,,https://www.google.com/maps/place/El+Mono+%7C+Fresh+Flavors+of+Peru/data=!4m2!3m1!1s0x80857f5b81edf6df:0x781874de12519a1b,,Peruvian,37.9119,-122.3088,,,,Restaurant
Bi-Rite Creamery,,https://www.google.com/maps/place/Bi-Rite+Creamery/data=!4m2!3m1!1s0x808f7e183c2a5c87:0xf75bf92aa3d52296,,Dessert / Ice Cream,37.76157,-122.425662,,,,Ice Cream / Dessert
Dumpling Hours - Oakland,,https://www.google.com/maps/place/Dumpling+Hours+-+Oakland/data=!4m2!3m1!1s0x808f872d257e4de9:0x118124dca3214c31,,Chinese,37.811025,-122.243813,,,,Restaurant
Fog Harbor Fish House,Clam chowder,https://www.google.com/maps/place/Fog+Harbor+Fish+House/data=!4m2!3m1!1s0x808580fc8bb3211d:0x5a423e79bde2d7a6,,Seafood,37.809005,-122.410295,,,,Restaurant
Small Change Oyster Bar,,https://www.google.com/maps/place/Small+Change+Oyster+Bar/data=!4m2!3m1!1s0x80857d78523428f9:0x9a17c57933c219e1,,Seafood,37.836442,-122.262287,,,,Bar
Cali Alley,Sandwiches,https://www.google.com/maps/place/Cali+Alley/data=!4m2!3m1!1s0x80857ff87d535e17:0x5eb905d2b9c4fa1b,,Deli / Sandwiches,37.855627,-122.289418,,,,Restaurant
Habana Express Cuban Restaurant & Bakery,Cubano sandwich ,https://www.google.com/maps/place/Habana+Express+Cuban+Restaurant+%26+Bakery/data=!4m2!3m1!1s0x8085613bc38e8e5f:0x39489dc1b8d56cb0,,Deli / Sandwiches,37.948,-122.065,,,,Bakery
Littlest Little Italy,Italian Beef,https://www.google.com/maps/place/Littlest+Little+Italy/data=!4m2!3m1!1s0x808fcd3bb4b95d65:0x2d61f8f6d24d4fd4,,Italian,37.3393,-121.8986,,,,Restaurant
Trader Vic's,Originator of the Mai Tai,https://www.google.com/maps/place/Trader+Vic's/data=!4m2!3m1!1s0x80857e52547fad1f:0xe674ede86714fac6,,,25.326949,51.541063,,,,Restaurant
Heroic Italian Berkeley,,https://www.google.com/maps/place/Heroic+Italian+Berkeley/data=!4m2!3m1!1s0x80857f56e6d37747:0xc9311b028babba0e,,Italian,37.868199,-122.269256,,,,Restaurant
Dino the Cat,,https://www.google.com/maps/place/Dino+the+Cat/data=!4m2!3m1!1s0x808f870061d2e427:0x2cfc6ae104561bd0,,,34.71294,-76.624372,,,,Restaurant
G-Shock Soho Store,,https://www.google.com/maps/place/G-Shock+Soho+Store/data=!4m2!3m1!1s0x89c2598e76212ce3:0x23d6df987058fac4,,,40.7277,-74.0012,,,,Shop
AVN Tires & Alignments,,https://www.google.com/maps/place/AVN+Tires+%26+Alignments/data=!4m2!3m1!1s0x808f86eb2768d449:0x14e9889b22636737,,,37.7701,-122.248,,,,Restaurant
Bardo Lounge & Supper Club,,https://www.google.com/maps/place/Bardo+Lounge+%26+Supper+Club/data=!4m2!3m1!1s0x808f8731f4616d99:0xb5285973ee1dc3ee,,Bar,37.811107,-122.243539,,,,Bar
Imperial Soup,Slow-cooked noodle soup,https://www.google.com/maps/place/Imperial+Soup/data=!4m2!3m1!1s0x808f80b6059d4cbd:0xca61a49e0c22a9af,,,37.798983,-122.271739,,,,Restaurant
USS Constitution Museum,,https://www.google.com/maps/place/USS+Constitution+Museum/data=!4m2!3m1!1s0x89e370f4778a4f39:0xa5c2057045470ca5,,,42.373888,-71.055516,,,,Museum
Go Duck Yourself 去你鸭的,,https://www.google.com/maps/place/Go+Duck+Yourself+%E5%8E%BB%E4%BD%A0%E9%B8%AD%E7%9A%84/data=!4m2!3m1!1s0x808f7f006a98841f:0x6512ddf73f6c38c4,,Chinese,37.7393,-122.417,,,,Restaurant
Sundance The Steakhouse,Steak,https://www.google.com/maps/place/Sundance+The+Steakhouse/data=!4m2!3m1!1s0x808fbae72fee6969:0x999d3c7e6308a647,,Steakhouse,37.428569,-122.149665,,,,Restaurant
Niku Steakhouse,Steak,https://www.google.com/maps/place/Niku+Steakhouse/data=!4m2!3m1!1s0x808f7fb58675f6f5:0xcd611a1c2e023dfa,,Steakhouse,37.7695,-122.4064,,,,Restaurant
Harris' Restaurant - The San Francisco Steakhouse,Steak,https://www.google.com/maps/place/Harris'+Restaurant+-+The+San+Francisco+Steakhouse/data=!4m2!3m1!1s0x808580e9f67d1f2f:0xec7c31479005259b,,Steakhouse,37.795,-122.423,,,,Restaurant
Kirala,Japanese,https://www.google.com/maps/place/Kirala/data=!4m2!3m1!1s0x80857e80350aaa73:0xd4d404dc18f8a577,,Japanese,37.859325,-122.266846,,,,Restaurant
Sushi Park,Japanese,https://www.google.com/maps/place/Sushi+Park/data=!4m2!3m1!1s0x808f8709a1de941d:0x9a0d124b2fe7caf7,,Japanese,34.093897,-118.377706,,,,Restaurant
Manpuku,Japanese,https://www.google.com/maps/place/Manpuku/data=!4m2!3m1!1s0x80857dcde2275653:0x54d7325cfffc9064,,Japanese,48.853108,2.33779,,,,Restaurant
Shimizu Cuisine,Japanese,https://www.google.com/maps/place/Shimizu+Cuisine/data=!4m2!3m1!1s0x80857df6b0985cb7:0x1162155ca254bd24,,Japanese,37.828533,-122.249387,,,,Restaurant
Tada Ramen & Yakitori,Japanese,https://www.google.com/maps/place/Tada+Ramen+%26+Yakitori/data=!4m2!3m1!1s0x808f87005bbc2f33:0x5a0eccbe39166dab,,Japanese,37.814072,-122.246594,,,,Restaurant
Ippuku,Japanese,https://www.google.com/maps/place/Ippuku/data=!4m2!3m1!1s0x80857e9dc0edc2b9:0xea34c89c5e6ba8ee,,Japanese,35.747455,139.826857,,,,Restaurant
Ebiko,Japanese,https://www.google.com/maps/place/Ebiko/data=!4m2!3m1!1s0x80857d7016c21081:0xa49eee9a7eaa409b,,Japanese,37.789372,-122.397819,,,,Restaurant
Geta,Japanese,https://www.google.com/maps/place/Geta/data=!4m2!3m1!1s0x80857df76a4a4509:0xe9bfd5b4a72bbeaf,,Japanese,60.374016,19.849813,,,,Restaurant
Kiraku,Japanese,https://www.google.com/maps/place/Kiraku/data=!4m2!3m1!1s0x80857c2c1a627715:0x9a18e2d5d37d59d3,,Japanese,52.521804,13.403574,,,,Restaurant
Soba Ichi,Japanese,https://www.google.com/maps/place/Soba+Ichi/data=!4m2!3m1!1s0x80857f9d10fbddc1:0xc223efa369049bb5,,Japanese,37.817023,-122.285124,,,,Restaurant
PA'S PAPA JAPANESE RESTAURANT,Japanese,https://www.google.com/maps/place/PA'S+PAPA+JAPANESE+RESTAURANT/data=!4m2!3m1!1s0x808f8703a851db9f:0x8e63c78378832411,,Japanese,37.7905232,-122.1973976,,,,Restaurant
Mazda Classic Automobile Museum Frey,,https://www.google.com/maps/place/Mazda+Classic+Automobile+Museum+Frey/data=!4m2!3m1!1s0x479ebd46b976096b:0x9b20ccca29c9cc47,,,48.361,10.9132,,,,Museum
The Sacred Grounds Cafe,Cozy cafe,https://www.google.com/maps/place/The+Sacred+Grounds+Cafe/data=!4m2!3m1!1s0x8085874dbfba71cb:0x8b7e11d174b2bc09,,Café,33.738873,-118.287115,,,,Café / Coffee
La Promenade Café,Cozy cafe,https://www.google.com/maps/place/La+Promenade+Caf%C3%A9/data=!4m2!3m1!1s0x808587a5e684eb5d:0x49dd061e4ae0bd1e,,Café,37.775551,-122.49816,,,,Café / Coffee
Tosca Cafe,Until the end of the world,https://www.google.com/maps/place/Tosca+Cafe/data=!4m2!3m1!1s0x808580f48a4913db:0x26641a2229c22b86,,Café,45.443351,11.000489,,,,Café / Coffee
Tucker's Ice Cream,,https://www.google.com/maps/place/Tucker's+Ice+Cream/data=!4m2!3m1!1s0x808f86bdfcbd3f0f:0x43af68920752619e,,Dessert / Ice Cream,37.763833,-122.243348,,,,Ice Cream / Dessert
Bar 821,Rare amaros,https://www.google.com/maps/place/Bar+821/data=!4m2!3m1!1s0x808580b1b6793991:0x33f7ff9d575d396d,,Bar,37.777153,-122.438416,,,,Bar
Mitama,,https://www.google.com/maps/place/Mitama/data=!4m2!3m1!1s0x80857dc5687d3bab:0xb24d1204d3b01ff6,,,-11.383117,39.488285,,,,Restaurant
